,precipitation_AWAP,precipitation_SILO,et_morton_wet_SILO,qtot,streamflow_mmd
1975-01-01,0.0,0.0,7.17129838,0.1241326857281034,0.69813026
1975-01-02,0.0,0.0,7.45178952,0.0970285877749757,0.68268389
1975-01-03,0.0,0.0,2.80659651,0.077353801013323,0.66627176
1975-01-04,0.0,0.0,3.99143864,0.0630655937398487,0.66939641
1975-01-05,0.00217544,0.0,7.0628773,0.0527145451105205,0.69596013
1975-01-06,0.0,0.0,4.36259662,0.0451615185631539,0.66380685
1975-01-07,0.0,0.0,6.66926326,0.0396683384483246,0.6553397
1975-01-08,0.52491229,0.00161404,5.25712288,0.0632703917502672,0.64735542
1975-01-09,1.26378947,0.36975439,3.41347373,0.1313313689059466,0.62957608
1975-01-10,11.11712285,7.74259663,5.47691244,0.9518249388095392,0.92198765
1975-01-11,3.69845612,9.21796509,4.80638604,0.9685819380997988,0.77164234
1975-01-12,0.0,0.0,5.08947374,0.7099211522567647,0.66792813
1975-01-13,0.0,0.0,6.07824565,0.5221322139069186,0.65850365
1975-01-14,0.0,0.0,6.29929837,0.3859486919157714,0.64507861
1975-01-15,0.95740351,0.86196492,6.80294755,0.3431713725894623,0.63379281
1975-01-16,0.69214036,0.63726317,6.98126317,0.2946900255115616,0.62705222
1975-01-17,0.0,0.0,6.69171947,0.2212250238860027,0.61762774
1975-01-18,0.0,0.0,6.11347382,0.1678181751690864,0.60615385
1975-01-19,0.0,0.0,6.61319302,0.1289834628312612,0.60185851
1975-01-20,0.0,0.0,6.89768431,0.1007337166432635,0.59078888
1975-01-21,0.0,0.0,6.97915791,0.0801746357076893,0.5721589
1975-01-22,0.0,0.0,7.15684221,0.0652057049076156,0.55848681
1975-01-23,0.0,0.0,6.97747371,0.0543012661008583,0.54451151
1975-01-24,0.0,0.0,3.72392986,0.0463535006808453,0.5316283
1975-01-25,13.90329827,15.10743871,2.83452636,1.003546684983821,0.62580011
1975-01-26,12.1035789,9.40252642,4.49024573,1.5688990316669829,1.07271757
1975-01-27,0.24912281,0.0,5.30098257,1.1615650090462095,0.66476418
1975-01-28,0.0,0.0,5.11073691,0.851691125023544,0.6131443
1975-01-29,0.0,0.0,6.33466681,0.6263977159273342,0.59676025
1975-01-30,0.0,0.0,6.20982478,0.4626548354387874,0.57542111
1975-01-31,2.85354383,3.31950881,6.21775447,0.520502010554499,0.55986805
1975-02-01,0.11529825,0.07031579,6.53733343,0.3902863469243777,0.55300674
1975-02-02,0.0,0.0,6.53782465,0.2910656415950806,0.54165076
1975-02-03,0.0,0.0,6.66042117,0.2188526822687893,0.53167602
1975-02-04,0.0,0.0,6.86807028,0.1662842561422837,0.52113981
1975-02-05,0.0,0.0,7.04554389,0.128001865820058,0.5178776
1975-02-06,0.06350877,0.06484211,7.02231584,0.1028279253377167,0.50591241
1975-02-07,0.0,0.0,5.46042109,0.0817655932976801,0.49919989
1975-02-08,0.8854737,0.26147369,5.72645621,0.1134714288224169,0.49613419
1975-02-09,0.95740351,0.4303158,2.61964924,0.1417873624292556,0.49757159
1975-02-10,0.05536842,0.06996491,5.42996498,0.1127413268780556,0.52933184
1975-02-11,7.5197895,7.99789496,1.89999998,0.5606882884495019,0.54804885
1975-02-12,30.72491218,26.55108789,3.50273689,2.41372160645449,0.86804043
1975-02-13,2.97249126,3.00442108,5.59361409,1.952116586624395,1.06838012
1975-02-14,0.0,0.0,3.60680706,1.4284832551109292,0.61629702
1975-02-15,0.0,0.0,6.06322812,1.047014189217834,0.57665357
1975-02-16,0.0,0.0,5.97101759,0.769472532852747,0.56115946
